,year,artist,track,time,genre,week,rank,date
609,2000,Nu Flavor,3 Little Words,3:54,R&B,2,97,2000-06-10
926,2000,Nu Flavor,3 Little Words,3:54,R&B,3,89,2000-06-17
1243,2000,Nu Flavor,3 Little Words,3:54,R&B,4,89,2000-06-24
1560,2000,Nu Flavor,3 Little Words,3:54,R&B,5,94,2000-07-01
1877,2000,Nu Flavor,3 Little Words,3:54,R&B,6,90,2000-07-08
2194,2000,Nu Flavor,3 Little Words,3:54,R&B,7,99,2000-07-15
2511,2000,Nu Flavor,3 Little Words,3:54,R&B,8,97,2000-07-22
2828,2000,Nu Flavor,3 Little Words,3:54,R&B,9,98,2000-07-29
199,2000,Papa Roach,Last Resort,3:19,Rock,1,75,2000-07-29
516,2000,Papa Roach,Last Resort,3:19,Rock,2,71,2000-08-05
833,2000,Papa Roach,Last Resort,3:19,Rock,3,69,2000-08-12
1150,2000,Papa Roach,Last Resort,3:19,Rock,4,69,2000-08-19
1467,2000,Papa Roach,Last Resort,3:19,Rock,5,66,2000-08-26
1784,2000,Papa Roach,Last Resort,3:19,Rock,6,64,2000-09-02
2101,2000,Papa Roach,Last Resort,3:19,Rock,7,61,2000-09-09
2418,2000,Papa Roach,Last Resort,3:19,Rock,8,61,2000-09-16
2735,2000,Papa Roach,Last Resort,3:19,Rock,9,66,2000-09-23
3052,2000,Papa Roach,Last Resort,3:19,Rock,10,64,2000-09-30
3369,2000,Papa Roach,Last Resort,3:19,Rock,11,63,2000-10-07
3686,2000,Papa Roach,Last Resort,3:19,Rock,12,60,2000-10-14
4003,2000,Papa Roach,Last Resort,3:19,Rock,13,65,2000-10-21
4320,2000,Papa Roach,Last Resort,3:19,Rock,14,66,2000-10-28
4637,2000,Papa Roach,Last Resort,3:19,Rock,15,62,2000-11-04
4954,2000,Papa Roach,Last Resort,3:19,Rock,16,66,2000-11-11
5271,2000,Papa Roach,Last Resort,3:19,Rock,17,64,2000-11-18
5588,2000,Papa Roach,Last Resort,3:19,Rock,18,64,2000-11-25
5905,2000,Papa Roach,Last Resort,3:19,Rock,19,57,2000-12-02
6222,2000,Papa Roach,Last Resort,3:19,Rock,20,72,2000-12-09
175,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,1,49,2000-05-13
492,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,2,70,2000-05-20
809,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,3,84,2000-05-27
1126,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,4,89,2000-06-03
1443,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,5,93,2000-06-10
1760,2000,Pearl Jam,Nothing As It Seems,5:20,Rock,6,91,2000-06-17
32,2000,Pink,Most Girls,4:06,Rock,1,85,2000-08-12
349,2000,Pink,Most Girls,4:06,Rock,2,70,2000-08-19
666,2000,Pink,Most Girls,4:06,Rock,3,52,2000-08-26
983,2000,Pink,Most Girls,4:06,Rock,4,36,2000-09-02
1300,2000,Pink,Most Girls,4:06,Rock,5,27,2000-09-09
1617,2000,Pink,Most Girls,4:06,Rock,6,21,2000-09-16
1934,2000,Pink,Most Girls,4:06,Rock,7,15,2000-09-23
2251,2000,Pink,Most Girls,4:06,Rock,8,13,2000-09-30
2568,2000,Pink,Most Girls,4:06,Rock,9,12,2000-10-07
2885,2000,Pink,Most Girls,4:06,Rock,10,8,2000-10-14
3202,2000,Pink,Most Girls,4:06,Rock,11,5,2000-10-21
3519,2000,Pink,Most Girls,4:06,Rock,12,5,2000-10-28
3836,2000,Pink,Most Girls,4:06,Rock,13,5,2000-11-04
4153,2000,Pink,Most Girls,4:06,Rock,14,6,2000-11-11
4470,2000,Pink,Most Girls,4:06,Rock,15,5,2000-11-18
4787,2000,Pink,Most Girls,4:06,Rock,16,4,2000-11-25
5104,2000,Pink,Most Girls,4:06,Rock,17,6,2000-12-02
5421,2000,Pink,Most Girls,4:06,Rock,18,8,2000-12-09
5738,2000,Pink,Most Girls,4:06,Rock,19,11,2000-12-16
6055,2000,Pink,Most Girls,4:06,Rock,20,14,2000-12-23
6372,2000,Pink,Most Girls,4:06,Rock,21,14,2000-12-30
6689,2000,Pink,Most Girls,4:06,Rock,22,16,2001-01-06
7006,2000,Pink,Most Girls,4:06,Rock,23,18,2001-01-13
7323,2000,Pink,Most Girls,4:06,Rock,24,21,2001-01-20
7640,2000,Pink,Most Girls,4:06,Rock,25,26,2001-01-27
7957,2000,Pink,Most Girls,4:06,Rock,26,39,2001-02-03
8274,2000,Pink,Most Girls,4:06,Rock,27,46,2001-02-10
45,2000,Pink,There U Go,3:23,Rock,1,25,2000-03-04
362,2000,Pink,There U Go,3:23,Rock,2,15,2000-03-11
679,2000,Pink,There U Go,3:23,Rock,3,12,2000-03-18
996,2000,Pink,There U Go,3:23,Rock,4,11,2000-03-25
1313,2000,Pink,There U Go,3:23,Rock,5,11,2000-04-01
1630,2000,Pink,There U Go,3:23,Rock,6,7,2000-04-08
1947,2000,Pink,There U Go,3:23,Rock,7,7,2000-04-15
2264,2000,Pink,There U Go,3:23,Rock,8,12,2000-04-22
2581,2000,Pink,There U Go,3:23,Rock,9,14,2000-04-29
2898,2000,Pink,There U Go,3:23,Rock,10,15,2000-05-06
3215,2000,Pink,There U Go,3:23,Rock,11,15,2000-05-13
3532,2000,Pink,There U Go,3:23,Rock,12,17,2000-05-20
3849,2000,Pink,There U Go,3:23,Rock,13,19,2000-05-27
4166,2000,Pink,There U Go,3:23,Rock,14,16,2000-06-03
4483,2000,Pink,There U Go,3:23,Rock,15,15,2000-06-10
4800,2000,Pink,There U Go,3:23,Rock,16,14,2000-06-17
5117,2000,Pink,There U Go,3:23,Rock,17,12,2000-06-24
5434,2000,Pink,There U Go,3:23,Rock,18,10,2000-07-01
5751,2000,Pink,There U Go,3:23,Rock,19,10,2000-07-08
6068,2000,Pink,There U Go,3:23,Rock,20,10,2000-07-15
6385,2000,Pink,There U Go,3:23,Rock,21,8,2000-07-22
6702,2000,Pink,There U Go,3:23,Rock,22,9,2000-07-29
7019,2000,Pink,There U Go,3:23,Rock,23,12,2000-08-05
7336,2000,Pink,There U Go,3:23,Rock,24,16,2000-08-12
7653,2000,Pink,There U Go,3:23,Rock,25,20,2000-08-19
7970,2000,Pink,There U Go,3:23,Rock,26,22,2000-08-26
8287,2000,Pink,There U Go,3:23,Rock,27,33,2000-09-02
8604,2000,Pink,There U Go,3:23,Rock,28,39,2000-09-09
8921,2000,Pink,There U Go,3:23,Rock,29,39,2000-09-16
9238,2000,Pink,There U Go,3:23,Rock,30,41,2000-09-23
9555,2000,Pink,There U Go,3:23,Rock,31,46,2000-09-30
9872,2000,Pink,There U Go,3:23,Rock,32,44,2000-10-07
66,2000,Profyle,Liar,3:57,R&B,1,52,2000-09-16
383,2000,Profyle,Liar,3:57,R&B,2,32,2000-09-23
700,2000,Profyle,Liar,3:57,R&B,3,25,2000-09-30
1017,2000,Profyle,Liar,3:57,R&B,4,17,2000-10-07
1334,2000,Profyle,Liar,3:57,R&B,5,16,2000-10-14
1651,2000,Profyle,Liar,3:57,R&B,6,16,2000-10-21
1968,2000,Profyle,Liar,3:57,R&B,7,14,2000-10-28
2285,2000,Profyle,Liar,3:57,R&B,8,19,2000-11-04
2602,2000,Profyle,Liar,3:57,R&B,9,24,2000-11-11
2919,2000,Profyle,Liar,3:57,R&B,10,33,2000-11-18
3236,2000,Profyle,Liar,3:57,R&B,11,35,2000-11-25
3553,2000,Profyle,Liar,3:57,R&B,12,43,2000-12-02
3870,2000,Profyle,Liar,3:57,R&B,13,54,2000-12-09
4187,2000,Profyle,Liar,3:57,R&B,14,61,2000-12-16
4504,2000,Profyle,Liar,3:57,R&B,15,69,2000-12-23
4821,2000,Profyle,Liar,3:57,R&B,16,75,2000-12-30
5138,2000,Profyle,Liar,3:57,R&B,17,86,2001-01-06
5455,2000,Profyle,Liar,3:57,R&B,18,81,2001-01-13
5772,2000,Profyle,Liar,3:57,R&B,19,94,2001-01-20
6089,2000,Profyle,Liar,3:57,R&B,20,99,2001-01-27
209,2000,Puff Daddy,Best Friend,5:33,Rap,1,65,2000-02-12
526,2000,Puff Daddy,Best Friend,5:33,Rap,2,59,2000-02-19
843,2000,Puff Daddy,Best Friend,5:33,Rap,3,62,2000-02-26
1160,2000,Puff Daddy,Best Friend,5:33,Rap,4,79,2000-03-04
1477,2000,Puff Daddy,Best Friend,5:33,Rap,5,99,2000-03-11
243,2000,Q-Tip,Breathe And Stop,4:06,Rock,1,71,2000-01-22
560,2000,Q-Tip,Breathe And Stop,4:06,Rock,2,71,2000-01-29
877,2000,Q-Tip,Breathe And Stop,4:06,Rock,3,81,2000-02-05
1194,2000,Q-Tip,Breathe And Stop,4:06,Rock,4,82,2000-02-12
1511,2000,Q-Tip,Breathe And Stop,4:06,Rock,5,96,2000-02-19
202,2000,R.E.M.,The Great Beyond,4:10,Rock,1,79,1999-12-25
519,2000,R.E.M.,The Great Beyond,4:10,Rock,2,79,2000-01-01
836,2000,R.E.M.,The Great Beyond,4:10,Rock,3,70,2000-01-08
1153,2000,R.E.M.,The Great Beyond,4:10,Rock,4,62,2000-01-15
1470,2000,R.E.M.,The Great Beyond,4:10,Rock,5,60,2000-01-22
1787,2000,R.E.M.,The Great Beyond,4:10,Rock,6,57,2000-01-29
2104,2000,R.E.M.,The Great Beyond,4:10,Rock,7,61,2000-02-05
2421,2000,R.E.M.,The Great Beyond,4:10,Rock,8,66,2000-02-12
2738,2000,R.E.M.,The Great Beyond,4:10,Rock,9,60,2000-02-19
3055,2000,R.E.M.,The Great Beyond,4:10,Rock,10,59,2000-02-26
3372,2000,R.E.M.,The Great Beyond,4:10,Rock,11,60,2000-03-04
3689,2000,R.E.M.,The Great Beyond,4:10,Rock,12,63,2000-03-11
4006,2000,R.E.M.,The Great Beyond,4:10,Rock,13,79,2000-03-18
4323,2000,R.E.M.,The Great Beyond,4:10,Rock,14,91,2000-03-25
146,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,1,87,2000-05-06
463,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,2,78,2000-05-13
780,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,3,72,2000-05-20
1097,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,4,68,2000-05-27
1414,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,5,66,2000-06-03
1731,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,6,64,2000-06-10
2048,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,7,58,2000-06-17
2365,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,8,58,2000-06-24
2682,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,9,56,2000-07-01
2999,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,10,54,2000-07-08
3316,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,11,49,2000-07-15
3633,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,12,46,2000-07-22
3950,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,13,46,2000-07-29
4267,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,14,41,2000-08-05
4584,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,15,38,2000-08-12
4901,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,16,38,2000-08-19
5218,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,17,47,2000-08-26
5535,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,18,65,2000-09-02
5852,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,19,72,2000-09-09
6169,2000,Rascal Flatts,Prayin' For Daylight,3:36,Country,20,77,2000-09-16
234,2000,Red Hot Chili Peppers,Californication,5:21,Rock,1,72,2000-07-29
551,2000,Red Hot Chili Peppers,Californication,5:21,Rock,2,72,2000-08-05
868,2000,Red Hot Chili Peppers,Californication,5:21,Rock,3,72,2000-08-12
1185,2000,Red Hot Chili Peppers,Californication,5:21,Rock,4,77,2000-08-19
1502,2000,Red Hot Chili Peppers,Californication,5:21,Rock,5,79,2000-08-26
1819,2000,Red Hot Chili Peppers,Californication,5:21,Rock,6,77,2000-09-02
2136,2000,Red Hot Chili Peppers,Californication,5:21,Rock,7,75,2000-09-09
2453,2000,Red Hot Chili Peppers,Californication,5:21,Rock,8,84,2000-09-16
2770,2000,Red Hot Chili Peppers,Californication,5:21,Rock,9,85,2000-09-23
3087,2000,Red Hot Chili Peppers,Californication,5:21,Rock,10,79,2000-09-30
3404,2000,Red Hot Chili Peppers,Californication,5:21,Rock,11,74,2000-10-07
3721,2000,Red Hot Chili Peppers,Californication,5:21,Rock,12,69,2000-10-14
4038,2000,Red Hot Chili Peppers,Californication,5:21,Rock,13,74,2000-10-21
4355,2000,Red Hot Chili Peppers,Californication,5:21,Rock,14,75,2000-10-28
4672,2000,Red Hot Chili Peppers,Californication,5:21,Rock,15,77,2000-11-04
4989,2000,Red Hot Chili Peppers,Californication,5:21,Rock,16,71,2000-11-11
5306,2000,Red Hot Chili Peppers,Californication,5:21,Rock,17,78,2000-11-18
5623,2000,Red Hot Chili Peppers,Californication,5:21,Rock,18,89,2000-11-25
5940,2000,Red Hot Chili Peppers,Californication,5:21,Rock,19,97,2000-12-02
65,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,1,80,2000-02-12
382,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2,72,2000-02-19
699,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,3,65,2000-02-26
1016,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,4,52,2000-03-04
1333,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,5,51,2000-03-11
1650,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,6,49,2000-03-18
1967,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,7,40,2000-03-25
2284,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,8,37,2000-04-01
2601,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,9,32,2000-04-08
2918,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,10,29,2000-04-15
3235,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,11,29,2000-04-22
3552,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,12,29,2000-04-29
3869,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,13,29,2000-05-06
4186,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,14,24,2000-05-13
4503,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,15,18,2000-05-20
4820,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,16,14,2000-05-27
5137,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,17,15,2000-06-03
5454,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,18,16,2000-06-10
5771,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,19,19,2000-06-17
6088,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,20,22,2000-06-24
6405,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,21,29,2000-07-01
6722,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,22,45,2000-07-08
38,2000,Ruff Endz,No More,3:56,Rock,1,76,2000-07-01
355,2000,Ruff Endz,No More,3:56,Rock,2,38,2000-07-08
672,2000,Ruff Endz,No More,3:56,Rock,3,19,2000-07-15
989,2000,Ruff Endz,No More,3:56,Rock,4,17,2000-07-22
1306,2000,Ruff Endz,No More,3:56,Rock,5,12,2000-07-29
1623,2000,Ruff Endz,No More,3:56,Rock,6,15,2000-08-05
1940,2000,Ruff Endz,No More,3:56,Rock,7,12,2000-08-12
2257,2000,Ruff Endz,No More,3:56,Rock,8,10,2000-08-19
2574,2000,Ruff Endz,No More,3:56,Rock,9,7,2000-08-26
2891,2000,Ruff Endz,No More,3:56,Rock,10,5,2000-09-02
3208,2000,Ruff Endz,No More,3:56,Rock,11,8,2000-09-09
3525,2000,Ruff Endz,No More,3:56,Rock,12,8,2000-09-16
3842,2000,Ruff Endz,No More,3:56,Rock,13,10,2000-09-23
4159,2000,Ruff Endz,No More,3:56,Rock,14,12,2000-09-30
4476,2000,Ruff Endz,No More,3:56,Rock,15,14,2000-10-07
4793,2000,Ruff Endz,No More,3:56,Rock,16,15,2000-10-14
5110,2000,Ruff Endz,No More,3:56,Rock,17,19,2000-10-21
5427,2000,Ruff Endz,No More,3:56,Rock,18,23,2000-10-28
5744,2000,Ruff Endz,No More,3:56,Rock,19,21,2000-11-04
6061,2000,Ruff Endz,No More,3:56,Rock,20,18,2000-11-11
6378,2000,Ruff Endz,No More,3:56,Rock,21,19,2000-11-18
6695,2000,Ruff Endz,No More,3:56,Rock,22,22,2000-11-25
7012,2000,Ruff Endz,No More,3:56,Rock,23,23,2000-12-02
7329,2000,Ruff Endz,No More,3:56,Rock,24,24,2000-12-09
7646,2000,Ruff Endz,No More,3:56,Rock,25,33,2000-12-16
7963,2000,Ruff Endz,No More,3:56,Rock,26,38,2000-12-23
96,2000,Sammie,I Like It,4:09,Rock,1,85,2000-01-29
413,2000,Sammie,I Like It,4:09,Rock,2,68,2000-02-05
730,2000,Sammie,I Like It,4:09,Rock,3,58,2000-02-12
1047,2000,Sammie,I Like It,4:09,Rock,4,44,2000-02-19
1364,2000,Sammie,I Like It,4:09,Rock,5,40,2000-02-26
1681,2000,Sammie,I Like It,4:09,Rock,6,33,2000-03-04
1998,2000,Sammie,I Like It,4:09,Rock,7,30,2000-03-11
2315,2000,Sammie,I Like It,4:09,Rock,8,29,2000-03-18
2632,2000,Sammie,I Like It,4:09,Rock,9,37,2000-03-25
2949,2000,Sammie,I Like It,4:09,Rock,10,29,2000-04-01
3266,2000,Sammie,I Like It,4:09,Rock,11,29,2000-04-08
3583,2000,Sammie,I Like It,4:09,Rock,12,24,2000-04-15
3900,2000,Sammie,I Like It,4:09,Rock,13,36,2000-04-22
4217,2000,Sammie,I Like It,4:09,Rock,14,46,2000-04-29
4534,2000,Sammie,I Like It,4:09,Rock,15,52,2000-05-06
4851,2000,Sammie,I Like It,4:09,Rock,16,61,2000-05-13
5168,2000,Sammie,I Like It,4:09,Rock,17,83,2000-05-20
5485,2000,Sammie,I Like It,4:09,Rock,18,93,2000-05-27
5802,2000,Sammie,I Like It,4:09,Rock,19,91,2000-06-03
6119,2000,Sammie,I Like It,4:09,Rock,20,89,2000-06-10
1,2000,Santana,"Maria, Maria",4:18,Rock,1,15,2000-02-12
318,2000,Santana,"Maria, Maria",4:18,Rock,2,8,2000-02-19
635,2000,Santana,"Maria, Maria",4:18,Rock,3,6,2000-02-26
952,2000,Santana,"Maria, Maria",4:18,Rock,4,5,2000-03-04
1269,2000,Santana,"Maria, Maria",4:18,Rock,5,2,2000-03-11
1586,2000,Santana,"Maria, Maria",4:18,Rock,6,3,2000-03-18
1903,2000,Santana,"Maria, Maria",4:18,Rock,7,2,2000-03-25
2220,2000,Santana,"Maria, Maria",4:18,Rock,8,2,2000-04-01
2537,2000,Santana,"Maria, Maria",4:18,Rock,9,1,2000-04-08
2854,2000,Santana,"Maria, Maria",4:18,Rock,10,1,2000-04-15
3171,2000,Santana,"Maria, Maria",4:18,Rock,11,1,2000-04-22
3488,2000,Santana,"Maria, Maria",4:18,Rock,12,1,2000-04-29
3805,2000,Santana,"Maria, Maria",4:18,Rock,13,1,2000-05-06
4122,2000,Santana,"Maria, Maria",4:18,Rock,14,1,2000-05-13
4439,2000,Santana,"Maria, Maria",4:18,Rock,15,1,2000-05-20
4756,2000,Santana,"Maria, Maria",4:18,Rock,16,1,2000-05-27
5073,2000,Santana,"Maria, Maria",4:18,Rock,17,1,2000-06-03
5390,2000,Santana,"Maria, Maria",4:18,Rock,18,1,2000-06-10
5707,2000,Santana,"Maria, Maria",4:18,Rock,19,8,2000-06-17
6024,2000,Santana,"Maria, Maria",4:18,Rock,20,15,2000-06-24
6341,2000,Santana,"Maria, Maria",4:18,Rock,21,19,2000-07-01
6658,2000,Santana,"Maria, Maria",4:18,Rock,22,21,2000-07-08
6975,2000,Santana,"Maria, Maria",4:18,Rock,23,26,2000-07-15
7292,2000,Santana,"Maria, Maria",4:18,Rock,24,36,2000-07-22
7609,2000,Santana,"Maria, Maria",4:18,Rock,25,48,2000-07-29
7926,2000,Santana,"Maria, Maria",4:18,Rock,26,47,2000-08-05
94,2000,Savage Garden,Crash And Burn,4:41,Rock,1,75,2000-04-08
411,2000,Savage Garden,Crash And Burn,4:41,Rock,2,58,2000-04-15
728,2000,Savage Garden,Crash And Burn,4:41,Rock,3,51,2000-04-22
1045,2000,Savage Garden,Crash And Burn,4:41,Rock,4,36,2000-04-29
1362,2000,Savage Garden,Crash And Burn,4:41,Rock,5,33,2000-05-06
1679,2000,Savage Garden,Crash And Burn,4:41,Rock,6,31,2000-05-13
1996,2000,Savage Garden,Crash And Burn,4:41,Rock,7,26,2000-05-20
2313,2000,Savage Garden,Crash And Burn,4:41,Rock,8,24,2000-05-27
2630,2000,Savage Garden,Crash And Burn,4:41,Rock,9,24,2000-06-03
2947,2000,Savage Garden,Crash And Burn,4:41,Rock,10,29,2000-06-10
3264,2000,Savage Garden,Crash And Burn,4:41,Rock,11,34,2000-06-17
3581,2000,Savage Garden,Crash And Burn,4:41,Rock,12,39,2000-06-24
3898,2000,Savage Garden,Crash And Burn,4:41,Rock,13,46,2000-07-01
4215,2000,Savage Garden,Crash And Burn,4:41,Rock,14,47,2000-07-08
4532,2000,Savage Garden,Crash And Burn,4:41,Rock,15,48,2000-07-15
4849,2000,Savage Garden,Crash And Burn,4:41,Rock,16,49,2000-07-22
5166,2000,Savage Garden,Crash And Burn,4:41,Rock,17,58,2000-07-29
5483,2000,Savage Garden,Crash And Burn,4:41,Rock,18,63,2000-08-05
5800,2000,Savage Garden,Crash And Burn,4:41,Rock,19,73,2000-08-12
6117,2000,Savage Garden,Crash And Burn,4:41,Rock,20,87,2000-08-19
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1,71,1999-10-23
319,2000,Savage Garden,I Knew I Loved You,4:07,Rock,2,48,1999-10-30
636,2000,Savage Garden,I Knew I Loved You,4:07,Rock,3,43,1999-11-06
953,2000,Savage Garden,I Knew I Loved You,4:07,Rock,4,31,1999-11-13
1270,2000,Savage Garden,I Knew I Loved You,4:07,Rock,5,20,1999-11-20
1587,2000,Savage Garden,I Knew I Loved You,4:07,Rock,6,13,1999-11-27
1904,2000,Savage Garden,I Knew I Loved You,4:07,Rock,7,7,1999-12-04
2221,2000,Savage Garden,I Knew I Loved You,4:07,Rock,8,6,1999-12-11
2538,2000,Savage Garden,I Knew I Loved You,4:07,Rock,9,4,1999-12-18
2855,2000,Savage Garden,I Knew I Loved You,4:07,Rock,10,4,1999-12-25
3172,2000,Savage Garden,I Knew I Loved You,4:07,Rock,11,4,2000-01-01
3489,2000,Savage Garden,I Knew I Loved You,4:07,Rock,12,6,2000-01-08
3806,2000,Savage Garden,I Knew I Loved You,4:07,Rock,13,4,2000-01-15
4123,2000,Savage Garden,I Knew I Loved You,4:07,Rock,14,2,2000-01-22
4440,2000,Savage Garden,I Knew I Loved You,4:07,Rock,15,1,2000-01-29
4757,2000,Savage Garden,I Knew I Loved You,4:07,Rock,16,1,2000-02-05
5074,2000,Savage Garden,I Knew I Loved You,4:07,Rock,17,1,2000-02-12
5391,2000,Savage Garden,I Knew I Loved You,4:07,Rock,18,2,2000-02-19
5708,2000,Savage Garden,I Knew I Loved You,4:07,Rock,19,1,2000-02-26
6025,2000,Savage Garden,I Knew I Loved You,4:07,Rock,20,2,2000-03-04
6342,2000,Savage Garden,I Knew I Loved You,4:07,Rock,21,4,2000-03-11
6659,2000,Savage Garden,I Knew I Loved You,4:07,Rock,22,8,2000-03-18
6976,2000,Savage Garden,I Knew I Loved You,4:07,Rock,23,8,2000-03-25
7293,2000,Savage Garden,I Knew I Loved You,4:07,Rock,24,12,2000-04-01
7610,2000,Savage Garden,I Knew I Loved You,4:07,Rock,25,14,2000-04-08
7927,2000,Savage Garden,I Knew I Loved You,4:07,Rock,26,17,2000-04-15
8244,2000,Savage Garden,I Knew I Loved You,4:07,Rock,27,21,2000-04-22
8561,2000,Savage Garden,I Knew I Loved You,4:07,Rock,28,24,2000-04-29
8878,2000,Savage Garden,I Knew I Loved You,4:07,Rock,29,30,2000-05-06
9195,2000,Savage Garden,I Knew I Loved You,4:07,Rock,30,34,2000-05-13
9512,2000,Savage Garden,I Knew I Loved You,4:07,Rock,31,37,2000-05-20
9829,2000,Savage Garden,I Knew I Loved You,4:07,Rock,32,46,2000-05-27
10146,2000,Savage Garden,I Knew I Loved You,4:07,Rock,33,47,2000-06-03
214,2000,SheDaisy,Deck The Halls,3:46,Country,1,97,1999-12-25
531,2000,SheDaisy,Deck The Halls,3:46,Country,2,61,2000-01-01
159,2000,SheDaisy,I Will.. But,3:40,Country,1,78,2000-07-15
476,2000,SheDaisy,I Will.. But,3:40,Country,2,74,2000-07-22
793,2000,SheDaisy,I Will.. But,3:40,Country,3,70,2000-07-29
1110,2000,SheDaisy,I Will.. But,3:40,Country,4,61,2000-08-05
1427,2000,SheDaisy,I Will.. But,3:40,Country,5,59,2000-08-12
1744,2000,SheDaisy,I Will.. But,3:40,Country,6,52,2000-08-19
2061,2000,SheDaisy,I Will.. But,3:40,Country,7,48,2000-08-26
2378,2000,SheDaisy,I Will.. But,3:40,Country,8,47,2000-09-02
2695,2000,SheDaisy,I Will.. But,3:40,Country,9,45,2000-09-09
3012,2000,SheDaisy,I Will.. But,3:40,Country,10,43,2000-09-16
3329,2000,SheDaisy,I Will.. But,3:40,Country,11,44,2000-09-23
3646,2000,SheDaisy,I Will.. But,3:40,Country,12,43,2000-09-30
3963,2000,SheDaisy,I Will.. But,3:40,Country,13,52,2000-10-07
4280,2000,SheDaisy,I Will.. But,3:40,Country,14,56,2000-10-14
4597,2000,SheDaisy,I Will.. But,3:40,Country,15,70,2000-10-21
4914,2000,SheDaisy,I Will.. But,3:40,Country,16,80,2000-10-28
5231,2000,SheDaisy,I Will.. But,3:40,Country,17,86,2000-11-04
5548,2000,SheDaisy,I Will.. But,3:40,Country,18,81,2000-11-11
5865,2000,SheDaisy,I Will.. But,3:40,Country,19,85,2000-11-18
6182,2000,SheDaisy,I Will.. But,3:40,Country,20,87,2000-11-25
198,2000,SheDaisy,This Woman Needs,3:20,Country,1,82,2000-02-05
515,2000,SheDaisy,This Woman Needs,3:20,Country,2,70,2000-02-12
832,2000,SheDaisy,This Woman Needs,3:20,Country,3,70,2000-02-19
1149,2000,SheDaisy,This Woman Needs,3:20,Country,4,67,2000-02-26
1466,2000,SheDaisy,This Woman Needs,3:20,Country,5,57,2000-03-04
1783,2000,SheDaisy,This Woman Needs,3:20,Country,6,57,2000-03-11
2100,2000,SheDaisy,This Woman Needs,3:20,Country,7,61,2000-03-18
2417,2000,SheDaisy,This Woman Needs,3:20,Country,8,68,2000-03-25
2734,2000,SheDaisy,This Woman Needs,3:20,Country,9,82,2000-04-01
201,2000,Shyne,Bad Boyz,4:22,Rap,1,94,2000-09-09
518,2000,Shyne,Bad Boyz,4:22,Rap,2,87,2000-09-16
835,2000,Shyne,Bad Boyz,4:22,Rap,3,90,2000-09-23
1152,2000,Shyne,Bad Boyz,4:22,Rap,4,90,2000-09-30
1469,2000,Shyne,Bad Boyz,4:22,Rap,5,82,2000-10-07
1786,2000,Shyne,Bad Boyz,4:22,Rap,6,67,2000-10-14
2103,2000,Shyne,Bad Boyz,4:22,Rap,7,61,2000-10-21
2420,2000,Shyne,Bad Boyz,4:22,Rap,8,57,2000-10-28
2737,2000,Shyne,Bad Boyz,4:22,Rap,9,71,2000-11-04
3054,2000,Shyne,Bad Boyz,4:22,Rap,10,78,2000-11-11
